#,X,Y,Z,CHARGE,MIN DIST,ATOMIC VOL
1,4.386501,1.043213,1.077061,4.953358,0.642893,10.895397
2,1.692012,2.598908,3.23085,4.99705,0.647764,6.843115
3,-1.002446,4.154547,5.43124,5.002407,0.6496,6.925018
4,4.386525,1.043221,7.640303,5.000903,0.642166,6.946763
5,1.692011,2.598911,9.949257,4.998724,0.642615,7.188011
6,-1.002506,4.154606,12.136128,4.985879,0.642466,11.840139
7,0.344788,2.845939,0.341943,5.063234,0.61771,41.686959
8,-2.349729,4.401588,2.495732,4.995609,0.642362,6.788557
9,3.040661,1.294654,4.679252,5.003735,0.646826,6.917303
10,0.348979,2.841099,6.868763,5.000877,0.639529,6.87531
11,-2.34956,4.369869,9.057892,5.009699,0.641859,6.866977
12,3.021131,1.151651,11.300101,4.967369,0.651769,8.160162
13,2.5796,3.642131,0.341944,5.064144,0.610597,41.689986
14,2.579577,0.530773,2.495747,4.993467,0.641263,6.789501
15,-0.111771,2.083061,4.679246,5.002474,0.647586,6.91841
16,2.573326,3.640911,6.868765,5.001277,0.649317,6.876514
17,2.552014,0.546527,9.057876,5.011107,0.659616,6.872185
18,-0.225946,2.171499,11.300126,4.96954,0.65059,8.158795
19,2.151715,1.308628,0.341949,5.065376,0.610794,41.896207
20,-0.542802,2.864276,2.495738,4.99253,0.640379,6.786051
21,2.147227,4.418962,4.679244,5.002458,0.647177,6.915285
22,2.153805,1.314652,6.868737,5.003072,0.644915,6.878988
23,-0.515381,2.880301,9.057866,5.006652,0.643077,6.866228
24,2.280792,4.473616,11.300156,4.96761,0.662713,8.159544
25,1.692007,2.598916,-3e-06,4.925095,0.667394,134.844502
26,-1.002456,4.154564,2.153786,4.982661,0.643536,6.960045
27,4.386533,1.043224,4.332567,5.00182,0.640606,6.875603
28,1.692035,2.598886,6.521823,4.993294,0.644872,6.85988
29,-1.002471,4.154563,8.691644,4.991409,0.640386,6.884783
30,4.386473,1.043265,10.858847,5.024806,0.660107,7.074304
31,3.039255,1.290284,1.419007,4.992896,0.645462,6.901482
32,0.344793,2.845932,3.572796,4.99676,0.640238,6.854379
33,-2.352332,4.399694,5.776971,5.000137,0.642036,6.914568
34,3.03614,1.305464,7.980309,4.997711,0.652529,7.0022
35,0.338088,2.892671,10.192467,5.001116,0.649559,7.035371
36,0.559742,0.172534,12.211558,5.025808,0.57774,81.016
37,-0.114918,2.086475,1.419001,4.997374,0.644895,6.908123
38,2.579605,3.642123,3.572798,4.997423,0.647738,6.856137
39,2.579293,0.533999,5.776955,4.998251,0.64617,6.91268
40,-0.100151,2.081564,7.980302,5.000463,0.648547,7.005976
41,2.623371,3.624564,10.192469,4.998204,0.660822,7.02987
42,2.851293,0.125719,12.211593,5.015563,0.607208,81.245236
43,2.151689,4.419978,1.418999,4.991231,0.633547,6.89852
44,2.15172,1.30862,3.572802,5.000547,0.64175,6.857243
45,-0.539806,2.862952,5.776977,4.998163,0.648282,6.912257
46,2.140107,4.409639,7.980301,4.996229,0.643766,7.004902
47,2.114578,1.279492,10.192473,5.000156,0.652956,7.03485
48,-1.029583,2.831579,12.211486,5.014335,0.605945,81.383031
