Direction,Elevator,Floor,Garden,Layout,Region,Price,Renovation,Size,Year
南北,无电梯,低楼层(共6层),翠竹苑,3室1厅,浦东,365,简装,77.84,1995
南,有电梯,低楼层(共36层),百汇园,3室2厅,徐汇,1449,精装,145.2,1995
南北,有电梯,中楼层(共26层),仁恒河滨城(二期),3室2厅,浦东,1630,精装,161.94,1995
南,有电梯,高楼层(共30层),财富海景花园,3室2厅,浦东,2000,精装,185,1995
东,有电梯,中楼层(共26层),仁恒滨江园,3室2厅,浦东,1360,精装,130.41,1995
南,有电梯,中楼层(共34层),老西门新苑,3室2厅,黄浦,1366,精装,143.08,1995
南,有电梯,中楼层(共13层),浦江茗园,3室2厅,浦东,1180,精装,141.25,1995
西南,有电梯,高楼层(共41层),世茂滨江花园,2室2厅,浦东,1450,精装,147.39,1995
南,有电梯,中楼层(共11层),中芯花园(公寓),2室2厅,浦东,630,精装,101.86,1995
南北,无电梯,低楼层(共6层),金水苑,3室2厅,奉贤,240,简装,133.62,1995
南北,有电梯,中楼层(共31层),上海滩花园,2室2厅,黄浦,1290,精装,120.61,1995
南,无电梯,中楼层(共5层),绿野香洲(公寓),3室2厅,闵行,660,精装,107.53,1995
南北,无电梯,高楼层(共7层),光复新苑,3室2厅,普陀,540,精装,90.52,1995
南,有电梯,高楼层(共16层),上海绿城,3室2厅,浦东,1150,精装,134.55,1995
南,有电梯,低楼层(共11层),万科城花新园,3室2厅,闵行,860,精装,129.73,1995
南,有电梯,低楼层(共18层),鸿凯湾绿苑,3室2厅,长宁,1090,简装,120.76,1995
南,有电梯,低楼层(共18层),荣域飘鹰锦和花园(公寓),2室2厅,宝山,315,毛坯,90.5,1995
南,有电梯,低楼层(共9层),恒大华城天地苑,3室2厅,浦东,768,简装,115.67,1995
南,有电梯,高楼层(共18层),中环家园,3室2厅,普陀,850,精装,131.58,1995
南,有电梯,低楼层(共35层),浦东世纪花园(公寓),3室2厅,浦东,1400,精装,179.52,1995
南,有电梯,低楼层(共18层),星颂家园,2室2厅,浦东,265,精装,72.64,1995
南,有电梯,低楼层(共11层),莲浦府邸(公寓),3室2厅,闵行,975,精装,141.21,1995
南,有电梯,高楼层(共13层),广洋新景苑(公寓),2室2厅,浦东,1000,精装,116.54,1995
南,有电梯,中楼层(共11层),欧风花都,2室2厅,闵行,628,精装,104.89,1995
南,无电梯,高楼层(共6层),长兴坊,3室1厅,徐汇,515,精装,83.88,1995
南,无电梯,高楼层(共6层),锦绣苑,2室2厅,浦东,660,精装,98.18,1995
南,无电梯,低楼层(共6层),兴浦新村,2室1厅,杨浦,255,简装,63.98,1995
南,无电梯,中楼层(共5层),安图新村,2室1厅,杨浦,320,精装,58.05,1995
南,有电梯,低楼层(共15层),绿地新江桥城,2室1厅,嘉定,303,其他,77.42,1995
南北,有电梯,高楼层(共11层),绿地世纪城(二期),3室2厅,普陀,898,精装,113.05,1995
南,有电梯,高楼层(共30层),仁恒河滨城(二期),3室2厅,浦东,1290,精装,151.16,1995
南北,有电梯,高楼层(共14层),盛达家园,2室2厅,宝山,380,简装,91.42,1995
南,有电梯,中楼层(共18层),香梅花园(三-五期),3室2厅,浦东,1379,其他,160.87,1995
南,有电梯,高楼层(共11层),君莲新城广润苑,2室2厅,闵行,355,简装,86.37,1995
南,有电梯,高楼层(共12层),新梅公寓,2室2厅,闵行,499,精装,108.53,1995
南,无电梯,低楼层(共6层),振宏小区,2室1厅,闵行,375,精装,65,1995
南,有电梯,中楼层(共18层),紫薇园,3室1厅,徐汇,660,简装,107.27,1995
南,有电梯,中楼层(共12层),新江湾城雍景苑,3室1厅,杨浦,935,精装,136.18,1995
南,有电梯,低楼层(共13层),绿城玉兰花园(一期),3室2厅,浦东,1260,精装,191.76,1995
南北,有电梯,高楼层(共13层),翰锦苑,3室2厅,浦东,740,精装,114.86,1995
南,有电梯,低楼层(共24层),嘉瑞花苑,2室2厅,徐汇,900,精装,115.17,1995
南,有电梯,高楼层(共35层),浦东世纪花园(公寓),3室2厅,浦东,1600,精装,179.52,1995
南,有电梯,中楼层(共7层),东方知音苑,3室2厅,浦东,970,精装,115,1995
南,,低楼层(共30层),华丽家族汇景天地(商业类),1室0厅,黄浦,358,精装,80.87,1995
南,无电梯,高楼层(共6层),航华四村,2室1厅,闵行,255,其他,66.57,1995
南,有电梯,高楼层(共15层),上海康城,3室2厅,闵行,456,精装,135.79,1995
南,有电梯,低楼层(共30层),耀江花园,2室2厅,黄浦,1300,精装,111.39,1995
南,无电梯,低楼层(共6层),打浦路210弄,2室1厅,黄浦,385,精装,45.17,1995
南,有电梯,中楼层(共26层),仁恒河滨城(三期),3室2厅,浦东,1370,其他,136.31,1995
南北,无电梯,低楼层(共6层),广洋苑,3室2厅,浦东,670,简装,85.74,1995
南,有电梯,中楼层(共29层),翠湖天地嘉苑,2室2厅,黄浦,1870,精装,134.89,1995
南,有电梯,中楼层(共23层),维多利亚(公寓),2室2厅,长宁,820,简装,139.69,1995
南,无电梯,高楼层(共6层),丽泽兰馨苑,1室1厅,浦东,116,毛坯,60.11,1995
南,无电梯,低楼层(共6层),武定路540弄,2室1厅,静安,450,简装,54,1995
西,有电梯,高楼层(共24层),银欣花苑(虹口),2室2厅,虹口,600,精装,117.41,1995
南,有电梯,低楼层(共11层),水语人家南苑,1室1厅,闵行,175,精装,56.45,1995
